exposure_event_id,human_post_annotation_id,human_pre_annotation_id,ai_annotation_id,model_run_id,case_id,exposure_sequence,output_components_shown,exposure_timestamp,interface_condition,notes
EXP_P01_C01_POST_001,P01_C01_POST,P01_C01_PRE,AI_C01,RUN_C01,C01,1,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,ai_review,Synthetic exposure event.
EXP_P01_C02_POST_001,P01_C02_POST,P01_C02_PRE,AI_C02,RUN_C02,C02,1,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,ai_review,Synthetic exposure event.
EXP_P01_C03_POST_001,P01_C03_POST,P01_C03_PRE,AI_C03,RUN_C03,C03,1,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,ai_review,Synthetic exposure event.
EXP_P01_C04_POST_001,P01_C04_POST,P01_C04_PRE,AI_C04,RUN_C04,C04,1,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,ai_review,Synthetic exposure event.
EXP_P02_C02_POST_001,P02_C02_POST,P02_C02_PRE,AI_C02,RUN_C02,C02,1,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,ai_review,Synthetic exposure event.
EXP_P02_C03_POST_001,P02_C03_POST,P02_C03_PRE,AI_C03,RUN_C03,C03,1,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,ai_review,Synthetic exposure event.
EXP_P02_C04_POST_001,P02_C04_POST,P02_C04_PRE,AI_C04,RUN_C04,C04,1,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,ai_review,Synthetic exposure event.
EXP_P02_C05_POST_001,P02_C05_POST,P02_C05_PRE,AI_C05,RUN_C05,C05,1,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,ai_review,Synthetic exposure event.
EXP_P03_C03_POST_001,P03_C03_POST,P03_C03_PRE,AI_C03,RUN_C03,C03,1,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,ai_review,Synthetic exposure event.
EXP_P03_C04_POST_001,P03_C04_POST,P03_C04_PRE,AI_C04,RUN_C04,C04,1,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,ai_review,Synthetic exposure event.
EXP_P03_C05_POST_001,P03_C05_POST,P03_C05_PRE,AI_C05,RUN_C05,C05,1,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,ai_review,Synthetic exposure event.
EXP_P03_C06_POST_001,P03_C06_POST,P03_C06_PRE,AI_C06,RUN_C06,C06,1,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,ai_review,Synthetic exposure event.
EXP_P04_C01_POST_001,P04_C01_POST,P04_C01_PRE,AI_C01,RUN_C01,C01,1,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,ai_review,Synthetic exposure event.
EXP_P04_C02_POST_001,P04_C02_POST,P04_C02_PRE,AI_C02,RUN_C02,C02,1,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,ai_review,Synthetic exposure event.
EXP_P04_C05_POST_001,P04_C05_POST,P04_C05_PRE,AI_C05,RUN_C05,C05,1,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,ai_review,Synthetic exposure event.
EXP_P04_C06_POST_001,P04_C06_POST,P04_C06_PRE,AI_C06,RUN_C06,C06,1,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,ai_review,Synthetic exposure event.
EXP_P04_C06_POST_002,P04_C06_POST,P04_C06_PRE,AI_C06,RUN_C06,C06,2,label evidence mechanism uncertainty rationale alternative,2026-07-01T01:00:00+00:00,ai_review,Synthetic exposure event.
